0,5,1,5,0,50,44,1,26,6,0,6,6,0,0,0,1,1
0,8,1,8,0,50,24,0,0,26,0,0,11,11,0,0,1,1
1,8,1,8,0,49,34,0,0,15,0,4,4,0,0,0,0,1
4,51,1,52,0,231,219,1,6,12,1,4,5,0,0,0,1,1
2,39,1,39,0,171,161,1,2,10,1,4,6,1,0,1,1,1
0,13,1,13,0,49,46,2,3,3,0,0,1,1,0,3,0,1
2,16,1,15,0,72,68,0,0,4,0,4,4,0,0,0,3,1
2,8,1,8,0,46,41,0,8,5,4,0,5,1,0,0,1,1
3,24,2,11,0,102,93,2,7,9,0,6,7,1,0,0,4,1
1,12,1,12,1,46,43,0,0,2,0,2,2,0,0,0,1,1
0,31,2,15,1,143,137,2,9,5,0,0,1,1,1,1,0,1
0,10,1,10,0,43,41,0,0,2,0,2,2,0,1,0,1,1
2,15,1,15,0,65,65,0,0,0,0,0,0,0,0,0,0,1
1,34,3,11,0,129,122,0,0,7,0,3,5,2,0,0,1,1
2,10,1,10,0,53,51,0,0,2,0,2,2,0,0,0,0,1
2,9,1,9,0,50,50,0,1,0,0,0,0,0,0,1,0,1
0,31,1,32,0,116,111,0,0,5,0,1,1,0,0,0,1,1
1,17,1,17,0,75,75,0,0,0,0,0,0,0,0,0,0,1
1,10,1,10,0,50,48,0,0,2,0,2,2,0,0,0,0,1
0,11,1,11,0,52,52,0,0,0,0,0,0,0,0,0,0,1
